Action,Page Views,Avg. Time,Entrances,Bounce Rate,% Exit
CTS_search,0,0:00,0,0.00%,0.00%
CTS_select,0,0:00,0,0.00%,0.00%
delete_comment,7,0:00:31,0,0.00%,0.00%
export_bib,14212,0:01:54.423093,199,0.00%,38.97%
export_cite,19596,0:01:27.313329,87,0.00%,0.00%
export_mail,9797,0:00:53.994386,0,0.00%,0.00%
export_search_mail,9964,0:00:55.613810,44,0.00%,0.28%
goto_about,2058,0:01:01.463071,136,0.00%,23.03%
goto_advanced_search,16279,0:01:51.892561,2616,0.00%,14.66%
goto_advanced_search_reconf,1656,0:01:59.080918,0,0.00%,5.56%
goto_contribute,260,0:01:59.996154,0,0.00%,26.92%
goto_create_account,2807,0:01:10.565729,25,0.00%,10.51%
goto_delete_account,28,0:01:30.250000,0,0.00%,67.86%
goto_edit_password,41,0:00:17.121951,0,0.00%,21.95%
goto_favorites,3235,0:01:27.358269,0,0.00%,16.11%
goto_fulltext,30770,0:03:09.104452,164,0.00%,51.13%
goto_google_books,16687,0:01:16.954515,22,0.00%,51.18%
goto_google_scholar,65714,0:01:36.915680,226,0.00%,52.33%
goto_history,1577,0:01:03.650602,88,0.00%,11.41%
goto_home,71044,0:02:32.972341,55234,0.01%,19.87%
goto_impressum,1226,0:00:41.395595,53,0.00%,24.06%
goto_last_search,3410,0:01:06.598534,0,0.00%,0.00%
goto_local_availability,29957,0:01:56.936342,68,0.00%,49.97%
goto_login,3298,0:00:01.069739,181,0.00%,0.06%
goto_partner,646,0:00:41.386997,58,0.00%,33.13%
goto_sofis,3115,0:02:01.564687,8,0.00%,50.56%
goto_team,673,0:00:44.054978,60,0.00%,23.63%
goto_thesaurus,4129,0:21:10.174134,1441,0.00%,8.36%
goto_topic-feeds,781,0:01:04.277849,147,0.00%,18.18%
goto_topic-research,1312,0:02:12.895579,549,0.00%,14.71%
goto_topic-research-unique,703,0:02:18.263158,0,0.00%,52.77%
purge_history,91,0:01:00.868132,0,0.00%,10.99%
save_search,217,0:00:04.640553,0,0.00%,0.00%
save_search_history,145,0:00:01.627586,0,0.00%,0.00%
save_to_multiple_favorites,415,0:01:17.542169,1,0.00%,1.45%
search,175445,0:02:44.327949,18924,0.00%,0.00%
search_advanced,12855,0:05:17.069623,170,0.00%,0.00%
search_as_rss,5,0:06:28.600000,0,0.00%,0.00%
search_change_facets,22964,0:03:33.083522,0,0.00%,0.00%
search_change_nohts,2165,0:02:24.121016,0,0.00%,0.00%
search_change_nohts_2,1051,0:01:49.182683,0,0.00%,0.00%
search_change_only_fulltext,8056,0:03:26.209161,0,0.00%,0.00%
search_change_only_fulltext_2,3127,0:01:39.592581,0,0.00%,0.00%
search_change_paging,27001,0:03:46.743343,0,0.00%,0.00%
search_change_sorting,9316,0:04:16.730786,0,0.00%,0.00%
search_from_history,332,0:00:42.605422,0,0.00%,0.00%
search_institution,7074,0:00:59.592310,2918,0.00%,0.00%
search_keyword,27126,0:00:43.020239,5045,0.00%,0.00%
search_person,50957,0:00:52.532743,20320,0.00%,0.00%
search_thesaurus,3371,0:24:38.365767,0,0.00%,58.47%
to_favorites,875,0:00:59.396571,0,0.00%,2.51%
view_citation,18833,0:01:19.676100,0,0.00%,41.76%
view_comment,107724,0:00:30.268863,0,0.00%,20.58%
view_description,60926,0:00:42.987083,0,0.00%,21.64%
view_record,440854,0:02:40.228345,369981,0.00%,0.26%
view_references,1520,0:00:33.896053,0,0.00%,18.82%
view_doc_rec,0,0:00,0,0.00%,0.00%
query_form,59744,0:01:07.814358,179952,0.00%,7.94%
